Name,Price,property,status,floor,transaction,facing,overlooking,ownership,bathroom,balcony,city,location,Rate_per_sqft,bedroom,total_area,year,Registry,Land Deed,Furniture
"2 BHK Flat for Sale in Pahar Ganj, New Delhi",5085069.625,Ample Properties,Ready to Move,11 out of 14,Resale,East,Main Road,Freehold,2,3,Delhi, Pahar Ganj,3889,2,899.9742864,2002,Not Registered,Yes,No
"3 BHK Flat for Sale in Adore Happy Homes Exclusive phase 2 , Sector 86, Faridabad",5303001.18,Anshul Propshop,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,2,2,Faridabad, Adore Happy Homes Exclusive phase 2 ,3650,3,1000,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Aba Cherry County, Tech Zone, Gautam Budh Nagar, Yamuna Expressway, Greater Noida",13802331.84,Alpas Corp,Ready to Move,1 out of 20,Resale,East,"Pool, Garden/Park, Main Road",Freehold,2,3,Noida, Aba Cherry County,7877,3,1206.04291,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Samridhi Luxuriya Avenue, Sector 150, Pusta Road, Noida",20340278.5,Upscale Landholdings,Ready to Move,Ground out of 4,New Property,East,Main Road,Freehold,2,4,Noida, Samridhi Luxuriya Avenue,11245,2,1244.997777,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Splendour, Greater Noida West, Greater Noida",14383482.65,Unknown,Poss. by Jun '26,2 out of 4,New Property,North,"Garden/Park, Pool, Main Road",Leasehold,2,4,Noida, Splendour,6115,3,1618.969747,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Wazir Nagar, South Extension, New Delhi",11623016.29,Unknown,Ready to Move,2 out of 4,Resale,North - West,Garden/Park,Freehold,2,1,Delhi, Wazir Nagar,7273,2,1099.958752,2002,Not Registered,No,Yes
"1 BHK Flat for Sale in Sadarpur, Ghaziabad",2324603.257,Unknown,Ready to Move,1 out of 4,Resale,North,Main Road,Freehold,1,2,Ghaziabad, Sadarpur,3721,1,429.9919377,2002,Registered,No,Yes
"3 BHK Flat for Sale in T Homes, Siddhartha Vihar, NH 24, Ghaziabad",15255208.87,Unknown,Ready to Move,4 out of 4,Resale,North - East,"Garden/Park, Main Road",Freehold,3,5,Ghaziabad, T Homes,6774,3,1550.044287,2002,Not Registered,No,Yes
"4 BHK Flat for Sale in County 107, Sector 107, Dadri Road, Noida",76276044.37,Unknown,Poss. by Dec '23,1 out of 3,Resale,East,"Garden/Park, Main Road",Freehold,4,4,Noida, County 107,15014,4,3496.736379,2002,Not Registered,Yes,Yes
3 BHK House for Sale in Mehrauli New Delhi,5085069.625,Unknown,Ready to Move,2 out of 4,Resale,North - East,Garden/Park,Freehold,2,2,Delhi, Mehrauli New Delhi,5278,3,663.1299735,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Mahavir Enclave Part 1, New Delhi",5520932.736,Unknown,Ready to Move,3 out of 3,Resale,East,Garden/Park,Freehold,2,1,Delhi, Mahavir Enclave Part 1,18056,2,210.456358,2002,Not Registered,Yes,Yes
"3 BHK Flat for Sale in Rajdhani Enclave, New Delhi",47218503.66,Unknown,Ready to Move,11 out of 18,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,2,3,Delhi, Rajdhani Enclave,3000,3,10833.33333,2002,Registered,No,Yes
"1 BHK Flat for Sale in Mehrauli, New Delhi",2179315.554,Unknown,Ready to Move,3 out of 10,Resale,North - West,Garden/Park,Freehold,1,5,Delhi, Mehrauli,37160,1,40.36598493,2002,Not Registered,Yes,No
"5 BHK House for Sale in Sector 15 Block A, Noida sector 15 Metro Noida",116230162.9,Unknown,Ready to Move,3 out of 3,Resale,Not specified,Garden/Park,Freehold,5,3,Noida, Sector 15 Block A,19464,5,4110.152076,2002,Registered,Yes,Yes
"4 BHK Flat for Sale in Unitech The World Spa, Uniworld City, Sector 30, Delhi Gurgaon Expressway, Gurgaon",123494548,Unknown,Ready to Move,4 out of 4,Resale,Not specified,Road,Freehold,5,5,Gurgaon, Unitech The World Spa,12885,4,6596.818005,2002,Not Registered,Yes,Yes
"4 BHK Flat for Sale in Shubh Laxmi Apartment Sector 6 Dwarka, Dwarka Sector 6, New Delhi",48671380.7,Unknown,Ready to Move,1 out of 2,Resale,Not specified,Road,Not specified,4,3,Delhi, Shubh Laxmi Apartment Sector 6 Dwarka,6798,4,4927.919976,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Bijwasan, New Delhi",8717262.214,Unknown,Ready to Move,4 out of 9,New Property,Not specified,Road,Not specified,2,2,Delhi, Bijwasan,7000,2,857.1428571,2002,Registered,No,Yes
"1 BHK Flat for Sale in Rohini, New Delhi",6102083.55,Unknown,Ready to Move,4 out of 4,Resale,Not specified,Road,Not specified,2,2,Delhi, Rohini,20278,1,207.1210179,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in H Block-Saket, New Delhi",53030011.8,Unknown,Ready to Move,16 out of 22,Resale,Not specified,Road,Not specified,2,2,Delhi, H Block-Saket,8936,3,4084.601611,2002,Registered,No,Yes
"3 BHK Flat for Sale in Galaxy Apartment, Sector 43, Gurgaon",30510417.75,Unknown,Ready to Move,12 out of 14,Resale,Not specified,Road,Not specified,3,2,Gurgaon, Galaxy Apartment,14000,3,1500,2002,Registered,No,Yes
"3 BHK Flat for Sale in M3M Skycity, Sector 65, Gurgaon",41406995.52,Unknown,Ready to Move,3 out of 4,New Property,Not specified,Road,Not specified,4,2,Gurgaon, M3M Skycity,44531,3,640.003593,2002,Registered,Yes,No
"4 BHK Flat for Sale in DLF The Magnolias, Sector 42, Gurgaon",414069955.2,Unknown,Ready to Move,4 out of 4,Resale,Not specified,Road,Not specified,5,2,Gurgaon, DLF The Magnolias,8462,4,33679.98109,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Tilak Marg, New Delhi",27604663.68,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,3,2,Delhi, Tilak Marg,13468,3,1410.751411,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Shankar Vihar, New Delhi",29057540.71,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,3,2,Delhi, Shankar Vihar,9500,3,2105.263158,2002,Registered,Yes,No
"2 BHK House for Sale in Paryatan Vihar, Vasundhara Enclave New Delhi",13802331.84,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,2,2,Delhi, Paryatan Vihar,7444,2,1276.195594,2002,Registered,Yes,No
"4 BHK Flat for Sale in Sector 27, Gurgaon",48671380.7,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,5,2,Gurgaon, Sector 27,7631,4,6378.113051,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Palm Green, Dwarka Sector 7, New Delhi",28331102.2,AAB Realty,Ready to Move,9 out of 9,Resale,North - East,"Garden/Park, Main Road",Freehold,3,2,Delhi, Palm Green,10000,3,1950,2002,Not Registered,Yes,No
"2 BHK Flat for Sale in DDA Flats, Sarita Vihar, Mathura Road, New Delhi",17434524.43,Arora Properties,Ready to Move,3 out of 4,Resale,North - East,Garden/Park,Leasehold,2,5,Delhi, DDA Flats,11429,2,1049.960626,2002,Registered,No,Yes
"2 BHK Flat for Sale in Prateek Wisteria, Sector 77, Noida",9443700.732,Investors Lab,Ready to Move,8 out of 15,Resale,East,"Garden/Park, Pool, Main Road",Freehold,2,4,Noida, Prateek Wisteria,6806,2,955.0396709,2002,Registered,Yes,No
"3 BHK Flat for Sale in Godrej Serenity , Sohna Sector 33, Gurgaon",18160962.95,Abhinav Tyagi,Ready to Move,8 out of 24,New Property,North,"Garden/Park, Main Road",Freehold,4,8,Gurgaon, Godrej Serenity ,8181,3,1527.930571,2002,Registered,Yes,Yes
> 10 BHK Villa for Sale in Sector 38 Gurgaon,116230162.9,Creative Homz ,Ready to Move,1 out of 5,Resale,East,"Garden/Park, Main Road",Freehold,2,1,Gurgaon, Sector 38 Gurgaon,25616,10,3123.048095,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Laxmi Nagar, New Delhi",7264385.178,Unknown,Ready to Move,4 out of 4,Resale,East,"Pool, Garden/Park, Main Road",Freehold,2,2,Delhi, Laxmi Nagar,8547,2,585.000585,2002,Registered,Yes,No
6 BHK House for Sale in Sushant Lok 1 Block C Gurgaon,87172622.14,Unknown,Poss. by Dec '25,8 out of 14,Resale,East,"Garden/Park, Pool, Main Road",Freehold,5,3,Gurgaon, Sushant Lok 1 Block C Gurgaon,15000,6,4000,2002,Not Registered,Yes,Yes
"2 BHK Flat for Sale in Zara Aavaas, Dhanwapur, Sector 104, Gurgaon",5375645.032,Unknown,Ready to Move,9 out of 12,New Property,North - East,"Garden/Park, Main Road",Freehold,2,4,Gurgaon, Zara Aavaas,5692,2,650.035137,2002,Not Registered,Yes,Yes
"3 BHK Flat for Sale in Oxy Homez, Bhopura, Ghaziabad",6102083.55,Unknown,Ready to Move,2 out of 3,Resale,North - West,"Pool, Garden/Park, Main Road",Freehold,2,1,Ghaziabad, Oxy Homez,3111,3,1350.048216,2002,Registered,No,Yes
"1 BHK Flat for Sale in Paryatan Vihar, Vasundhara Enclave, New Delhi",6537946.661,Unknown,Ready to Move,Ground out of 1,Resale,West,Main Road,Freehold,2,2,Delhi, Paryatan Vihar,10000,1,450,2002,Registered,No,Yes
"3 BHK Flat for Sale in Paryatan Vihar, Vasundhara Enclave, New Delhi",13802331.84,Unknown,Ready to Move,2 out of 2,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,2,2,Delhi, Paryatan Vihar,7037,3,1350.007105,2002,Registered,Yes,Yes
3 BHK Flat for Sale in Gurgaon,20340278.5,Unknown,Poss. by Aug '26,1 out of 4,Resale,North - West,Garden/Park,Freehold,4,3,Gurgaon, Gurgaon,3996,3,3503.503504,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Pan Oasis, Sector 70, Noida",6043968.468,Unknown,Ready to Move,7 out of 24,New Property,North - East,Garden/Park,Freehold,2,3,Noida, Pan Oasis,7976,2,521.5646941,2002,Registered,Yes,No
"2 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",12930605.62,Unknown,Ready to Move,1 out of 4,New Property,North - East,Road,Freehold,2,2,Gurgaon, Signature Global City 93,10777,2,825.8327921,2002,Registered,Yes,Yes
"4 BHK Flat for Sale in Saan Verdante, Sector 95, Gurgaon",47944942.18,Unknown,Poss. by Jun '25,3 out of 4,New Property,Not specified,Road,Not specified,4,1,Gurgaon, Saan Verdante,12941,4,2550.034773,2002,Not Registered,No,Yes
"2 BHK Flat for Sale in East Of Kailash, New Delhi",15981647.39,Unknown,Ready to Move,2 out of 2,Resale,Not specified,Road,Not specified,2,3,Delhi, East Of Kailash,13000,2,846.1538462,2002,Registered,No,No
"4 BHK Flat for Sale in Whiteland Blissville, Sector 76, Delhi Gurgaon Expressway, Gurgaon",31236856.27,Unknown,Ready to Move,1 out of 27,Resale,Not specified,Road,Not specified,4,2,Gurgaon, Whiteland Blissville,2756,4,7801.161103,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Sector 88, Faridabad",9007837.621,Unknown,Ready to Move,Ground out of 4,Resale,Not specified,Road,Not specified,3,2,Faridabad, Sector 88,8494,3,729.9270073,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Conscient Heritage Max, Sector 102, Gurgaon",34578473.45,Unknown,Ready to Move,23 out of 24,Resale,Not specified,Road,Not specified,3,2,Gurgaon, Conscient Heritage Max,5091,3,4674.916519,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Badarpur Metro Station, Faridabad",4068055.7,Unknown,Ready to Move,12 out of 25,Resale,Not specified,Road,Not specified,1,2,Faridabad, Badarpur Metro Station,5333,2,525.0328146,2002,Registered,Yes,Yes
"3 BHK House for Sale in Tirka Colony, Mathura Road Faridabad",6973809.771,Unknown,Ready to Move,1 out of 4,Resale,Not specified,Road,Not specified,2,2,Faridabad, Tirka Colony,10000,3,480,2002,Registered,Yes,No
"4 BHK House for Sale in Housing Board Duplex, Sector 62, Mathura Road Faridabad",20340278.5,Unknown,Ready to Move,1 out of 4,Resale,Not specified,Road,Not specified,3,2,Faridabad, Housing Board Duplex,6481,4,2160.160469,2002,Registered,Yes,Yes
"2 BHK House for Sale in Housing Board Duplex, Sector 62, Mathura Road Faridabad",5085069.625,Unknown,Poss. by Sep '27,2 out of 4,Resale,Not specified,Road,Not specified,1,2,Faridabad, Housing Board Duplex,5983,2,584.9908073,2002,Registered,No,Yes
"3 BHK Flat for Sale in Spring Elmas, Greater Noida West, Greater Noida",13802331.84,Unknown,Ready to Move,2 out of 4,New Property,Not specified,Road,Not specified,3,2,Noida, Spring Elmas,8202,3,1158.254084,2002,Registered,Yes,Yes
"4 BHK Flat for Sale in CRC Joyous, Techzone 4, Greater Noida",21212004.72,Unknown,Ready to Move,2 out of 4,New Property,Not specified,Road,Not specified,4,2,Noida, CRC Joyous,13182,4,1107.57093,2002,Not Registered,Yes,Yes
"2 BHK Flat for Sale in DDA Dhruva Apartments, Indraprastha Extension, Patparganj, New Delhi",21066717.02,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,2,2,Delhi, DDA Dhruva Apartments,6403,2,2264.563486,2002,Registered,No,Yes
"3 BHK Flat for Sale in Vasundhara Sector 9, Ghaziabad",13497227.66,Unknown,Ready to move,2 out of 4,New Property,Not specified,Road,Not specified,2,2,Ghaziabad, Vasundhara Sector 9,50000,3,185.8,2002,Registered,Yes,Yes
9 BHK Villa for Sale in Paschim Vihar Block B5 New Delhi,130758933.2,Unknown,Ready to move,2 out of 4,Resale,Not specified,Road,Not specified,9,2,Delhi, Paschim Vihar Block B5 New Delhi,7631,9,17135.22909,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Masjid Moth, Greater Kailash, New Delhi",83540429.55,Tanishq Property,Ready to Move,1 out of 4,New Property,North,Garden/Park,Freehold,3,2,Delhi, Masjid Moth,23663,3,2429.953937,2002,Registered,Yes,No
"3 BHK Flat for Sale in SRS Pearl, Sector 87, Faridabad",10170139.25,Suraj Builders (Suraj Jaiswal Buildup Pvt. Ltd.),Ready to Move,4 out of 14,Resale,North - East,"Garden/Park, Pool",Freehold,3,3,Faridabad, SRS Pearl,4082,3,1714.845664,2002,Registered,Yes,Yes
"4 BHK House for Sale in Mujesar Village, Sector 24, Mathura Road Faridabad",9007837.621,Rajan Raheja,Ready to Move,3 out of 4,Resale,East,"Garden/Park, Main Road",Freehold,2,4,Faridabad, Mujesar Village,6889,4,899.9854841,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Whiteland Blissville, Sector 76, Delhi Gurgaon Expressway, Gurgaon",25570635.83,Unknown,Ready to Move,3 out of 14,Resale,North - East,"Garden/Park, Main Road",Freehold,3,3,Gurgaon, Whiteland Blissville,10526,3,1672.050162,2002,Registered,Yes,No
"5 BHK House for Sale in Omex Green Valley, Sector 42, Mathura Road Faridabad",28331102.2,Unknown,Ready to Move,2 out of 4,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,6,4,Faridabad, Omex Green Valley,17473,5,1116.007555,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Paras Dews, Sector 106, Gurgaon",19613839.98,Unknown,Ready to Move,12 out of 32,Resale,East,"Garden/Park, Pool, Main Road",Freehold,3,4,Gurgaon, Paras Dews,7105,3,1900.070373,2002,Registered,Yes,Yes
"3 BHK Flat for Sale in Uttam Nagar, New Delhi",5811508.143,Unknown,Ready to Move,1 out of 2,New Property,East,Main Road,Freehold,2,3,Delhi, Uttam Nagar,5000,3,800,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Malibu Town, Sector 47, Gurgaon",12785317.91,Unknown,Poss. by Jun '24,8 out of 15,Resale,East,Garden/Park,Freehold,2,3,Gurgaon, Malibu Town,8826,2,997.0541582,2002,Not Registered,Yes,Yes
"3 BHK Flat for Sale in Era Divine Court, Sector 76, Faridabad",7264385.178,Unknown,Ready to Move,2 out of 4,Resale,North - East,Main Road,Freehold,2,2,Faridabad, Era Divine Court,3077,3,1624.959376,2002,Registered,No,Yes
"3 BHK Flat for Sale in Godrej Icon, Sector 88A, Gurgaon",23246032.57,Unknown,Ready to Move,2 out of 3,New Property,North - East,Garden/Park,Leasehold,3,2,Gurgaon, Godrej Icon,7470,3,2141.900937,2002,Not Registered,No,No
"4 BHK Flat for Sale in Ansals Sushant Floors, Sector 57, Gurgaon",45039188.11,Unknown,Ready to Move,4 out of 7,New Property,North - East,Main Road,Freehold,4,1,Gurgaon, Ansals Sushant Floors,15078,4,2055.975594,2002,Registered,Yes,Yes
"2 BHK Flat for Sale in Supertech Ecociti, Sector 137, Noida Express Way, Noida",7717761.912,Unknown,Ready to Move,1 out of 4,Resale,East,Main Road,Freehold,2,2,Noida, Supertech Ecociti,5730,2,1082.024433,2003,Registered,Yes,Yes
"3 BHK Villa for Sale in Paramount Golfforeste, Zeta 1 Greater Noida",16182404.01,Unknown,Poss. by Feb '25,4 out of 9,Resale,Not specified,Road,Not specified,3,4,Noida, Paramount Golfforeste,5302,3,2451.904942,2003,Not Registered,Yes,No
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",17302724.29,Unknown,Ready to Move,Ground out of 1,New Property,Not specified,Road,Not specified,3,3,Gurgaon, Signature Global City 93,6987,3,1989.408902,2003,Registered,Yes,No
"2 BHK Flat for Sale in Krystal Homes, Greater Noida West, Greater Noida",3360960.833,Unknown,Ready to Move,3 out of 5,New Property,Not specified,Road,Not specified,2,1,Noida, Krystal Homes,2856,2,945.3781513,2003,Registered,No,Yes
"3 BHK Flat for Sale in Paradise Apartment, Indraprastha Extension, Patparganj, New Delhi",26763206.63,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,3,1,Delhi, Paradise Apartment,13030,3,1650.038373,2003,Not Registered,No,No
"4 BHK Flat for Sale in ATS Greens Village, Sector 93A, Noida Express Way, Noida",42323210.48,Unknown,Ready to Move,4 out of 4,Resale,Not specified,Road,Not specified,4,2,Noida, ATS Greens Village,12117,4,2805.975076,2003,Registered,No,No
"4 BHK House for Sale in DLF Phase 1 Arjun Marg, DLF City Phase 1 Gurgaon",68464016.96,Unknown,Ready to Move,2 out of 30,Resale,Not specified,Road,Not specified,4,2,Gurgaon, DLF Phase 1 Arjun Marg,15278,4,3599.947637,2003,Registered,Yes,Yes
"4 BHK Flat for Sale in Sector 43, Gurgaon",40331529.99,Unknown,Ready to Move,30 out of 36,Resale,Not specified,Road,Not specified,4,2,Gurgaon, Sector 43,11688,4,2772.073922,2003,Registered,Yes,Yes
"3 BHK Flat for Sale in Unitech Cedar Crest, Nirvana Country, Sector 50, Gurgaon",39833609.87,Unknown,Ready to Move,2 out of 4,New Property,Not specified,Road,Not specified,3,2,Gurgaon, Unitech Cedar Crest,12800,3,2500,2003,Registered,Yes,Yes
2 BHK House for Sale in Dakshinpuri New Delhi,6472961.603,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,1,2,Delhi, Dakshinpuri New Delhi,21399,2,243.0020094,2003,Registered,Yes,No
"1 BHK Flat for Sale in Vaishali Sector 5, Ghaziabad",3423200.848,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,1,2,Ghaziabad, Vaishali Sector 5,4935,1,557.2441743,2003,Registered,Yes,Yes
"2 BHK Flat for Sale in Ghaziabad Road, Ghaziabad",4730241.172,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,2,2,Ghaziabad, Ghaziabad Road,7306,2,520.1204489,2003,Registered,Yes,No
"5 BHK House for Sale in Krishna Nagar, Ghukna Ghaziabad",7468801.85,Unknown,Ready to Move,2 out of 4,Resale,Not specified,Road,Not specified,2,2,Ghaziabad, Krishna Nagar,3556,5,1687.289089,2003,Registered,Yes,Yes
"2 BHK House for Sale in Saubhagya Puram, Govindpuram Ghaziabad",3983360.987,Unknown,Ready to move,2 out of 4,Resale,Not specified,Road,Not specified,2,2,Ghaziabad, Saubhagya Puram,7631,2,521.9972463,2003,Registered,Yes,Yes
"1 BHK Flat for Sale in Om Apartments, Dwarka Sector 14, New Delhi",7468801.85,Chhillar Homes,Ready to Move,1 out of 3,Resale,East,Main Road,Freehold,1,1,Delhi, Om Apartments,10909,1,550.0045834,2003,Registered,No,Yes
"3 BHK Flat for Sale in Hargobind Enclave, Anand Vihar, New Delhi",42323210.48,Veer Ji Properties,Ready to Move,1 out of 4,New Property,East,"Garden/Park, Main Road",Freehold,3,2,Delhi, Hargobind Enclave,18889,3,1799.989412,2003,Registered,Yes,No
"3 BHK Flat for Sale in Pitampura, New Delhi",56016013.88,Mannat Home Estate,Ready to Move,2 out of 4,Resale,West,"Garden/Park, Main Road",Freehold,4,2,Delhi, Pitampura,20833,3,2160.034561,2003,Not Registered,Yes,Yes
"3 BHK Flat for Sale in 11th Avenue Gaur City 2, Noida Extension, Noida",9958402.467,Catalyze capital Management private Limited,Ready to Move,8 out of 20,Resale,North - East,"Pool, Garden/Park, Main Road",Leasehold,3,3,Noida, 11th Avenue Gaur City 2,5776,3,1385.041551,2003,Registered,Yes,No
"3 BHK Flat for Sale in Brahma Apartments, Dwarka Sector 7, New Delhi",28008006.94,Magic Villa ,Ready to Move,2 out of 10,Resale,North - East,"Garden/Park, Main Road",Freehold,3,3,Delhi, Brahma Apartments,11250,3,2000,2003,Registered,Yes,Yes
7 BHK House for Sale in Sector 51 Noida,56016013.88,Unknown,Ready to Move,Ground out of 2,Resale,North - East,"Garden/Park, Main Road",Leasehold,7,5,Noida, Sector 51 Noida,23225,7,1937.567277,2003,Registered,Yes,Yes
"2 BHK Flat for Sale in Migsun Roof, Garhi, Raj Nagar Extension, Ghaziabad",2738560.678,Unknown,Ready to Move,8 out of 17,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,2,Ghaziabad, Migsun Roof,2699,2,815.1167099,2003,Registered,Yes,Yes
"6 BHK House for Sale in RWA Residential Society, Sector 40 Gurgaon",62240015.42,Unknown,Ready to Move,Ground out of 2,Resale,South,Garden/Park,Freehold,6,4,Gurgaon, RWA Residential Society,16667,6,2999.940001,2003,Registered,Yes,Yes
"1 BHK Flat for Sale in DDA Sunveiw Apartments, Dwarka Sector 11, New Delhi",7468801.85,Unknown,Ready to Move,2 out of 4,Resale,North - East,"Pool, Garden/Park, Main Road",Freehold,2,2,Delhi, DDA Sunveiw Apartments,12000,1,500,2003,Registered,Yes,Yes
"2 BHK Flat for Sale in Amrapali Silicon City, Sector 76, Noida",8713602.158,Unknown,Ready to Move,2 out of 18,Resale,North - East,"Garden/Park, Pool, Main Road",Leasehold,2,2,Noida, Amrapali Silicon City,5932,2,1180.040459,2003,Registered,Yes,No
"3 BHK Flat for Sale in Vatika Lifestyle Homes, Sector 83, Gurgaon",13692803.39,Unknown,Ready to Move,3 out of 5,Resale,East,Main Road,Freehold,2,1,Gurgaon, Vatika Lifestyle Homes,6286,3,1749.920458,2003,Registered,Yes,Yes
"2 BHK Flat for Sale in Sector 12 Pratap Vihar, Ghaziabad",3734400.925,Unknown,Ready to Move,2 out of 3,Resale,West,Main Road,Freehold,2,1,Ghaziabad, Sector 12 Pratap Vihar,5556,2,539.9568035,2003,Registered,No,No
"3 BHK Flat for Sale in Block H, Sector 26, Mehrauli Gurgaon Road, Gurgaon",28008006.94,Unknown,Ready to Move,4 out of 4,New Property,North - East,Garden/Park,Freehold,3,2,Gurgaon, Block H,12500,3,1800,2003,Registered,Yes,No
"3 BHK Flat for Sale in Gyan Khand 4, Indirapuram, Ghaziabad",8215682.035,Unknown,Ready to Move,1 out of 2,Resale,West,Garden/Park,Freehold,3,2,Ghaziabad, Gyan Khand 4,4125,3,1600,2003,Registered,Yes,Yes
"4 BHK Flat for Sale in Gyan Khand 4, Indirapuram, Ghaziabad",12448003.08,Unknown,Ready to Move,1 out of 3,Resale,North,"Garden/Park, Pool, Main Road",Freehold,3,3,Ghaziabad, Gyan Khand 4,5556,4,1799.856012,2003,Registered,Yes,No
"3 BHK Flat for Sale in Judges Enclave, Indirapuram, Ghaziabad",10456322.59,Unknown,Ready to Move,1 out of 8,Resale,East,"Garden/Park, Pool, Main Road",Freehold,2,1,Ghaziabad, Judges Enclave,6181,3,1359.003398,2003,Not Registered,Yes,Yes
"4 BHK Flat for Sale in Madhuban Enclave, Preet Vihar, New Delhi",45435211.25,Unknown,Ready to Move,Ground out of 4,Resale,East,Main Road,Freehold,3,1,Delhi, Madhuban Enclave,15870,4,2299.936988,2003,Registered,Yes,Yes
"4 BHK Flat for Sale in Sector 63A, Gurgaon",49792012.33,Unknown,Ready to Move,2 out of 4,New Property,East,Road,Freehold,4,3,Gurgaon, Sector 63A,10633,4,3761.873413,2003,Registered,No,No
"4 BHK Flat for Sale in Rajouri Garden, New Delhi",56016013.88,Unknown,Ready to Move,Ground out of 4,New Property,East,Road,Freehold,4,3,Delhi, Rajouri Garden,25000,4,1800,2003,Registered,No,Yes
"3 BHK Flat for Sale in DDA Flats Vasant Kunj, Vasant Kunj Sector D, New Delhi",41078410.18,Unknown,Ready to Move,Ground out of 3,Resale,North - West,Road,Freehold,4,4,Delhi, DDA Flats Vasant Kunj,15000,3,2200,2003,Registered,No,Yes
"3 BHK Flat for Sale in M3M Crown Phase 1, Sector 111, Gurgaon",26140806.48,Unknown,Poss. by Jan '26,3 out of 30,Resale,East,Road,Freehold,3,2,Gurgaon, M3M Crown Phase 1,9976,3,2105.052125,2003,Registered,Yes,Yes
"1 BHK Flat for Sale in Sector 75, Noida",4107841.018,Unknown,Ready to Move,3 out of 16,Resale,Not specified,Road,Not specified,1,3,Noida, Sector 75,5366,1,614.9832277,2003,Registered,Yes,Yes
"3 BHK Flat for Sale in Emaar Palm Heights, Sector 77, Delhi Gurgaon Expressway, Gurgaon",21286085.27,Unknown,Ready to Move,1 out of 24,Resale,Not specified,Road,Not specified,3,2,Gurgaon, Emaar Palm Heights,10465,3,1634.018156,2003,Not Registered,No,Yes
"3 BHK Flat for Sale in Bestech Park View City 2, Sector 49 Block D, Gurgaon",28008006.94,Unknown,Ready to Move,Ground out of 14,Resale,Not specified,Road,Not specified,4,2,Gurgaon, Bestech Park View City 2,7200,3,3125,2003,Not Registered,Yes,Yes
"3 BHK Flat for Sale in Niti Khand-Indirapuram, Indirapuram, Ghaziabad",13443843.33,Unknown,Ready to Move,1 out of 3,New Property,Not specified,Road,Not specified,3,2,Ghaziabad, Niti Khand-Indirapuram,5782,3,1867.86579,2003,Not Registered,No,Yes
"3 BHK Flat for Sale in Nirala Greenshire, Greater Noida West, Greater Noida",10580802.62,Unknown,Ready to Move,15 out of 20,Resale,Not specified,Road,Not specified,2,2,Noida, Nirala Greenshire,5854,3,1451.998633,2003,Registered,No,Yes
"3 BHK Flat for Sale in Anand Niketan, New Delhi",80912020.04,Asta Realty,Ready to Move,Ground out of 4,Resale,East,"Garden/Park, Pool, Main Road",Freehold,4,2,Delhi, Anand Niketan,34211,3,1899.973693,2003,Not Registered,Yes,Yes
"4 BHK Flat for Sale in Malviya Nagar, New Delhi",31120007.71,Unknown,Ready to Move,1 out of 3,Resale,North - East,Garden/Park,Leasehold,4,4,Delhi, Malviya Nagar,11721,4,2132.923812,2003,Registered,Yes,Yes
"3 BHK Flat for Sale in Fusion The Brook, Greater Noida West, Greater Noida",9074594.248,Unknown,Poss. by Jun '25,10 out of 24,Resale,West,Garden/Park,Freehold,3,4,Noida, Fusion The Brook,4750,3,1534.736842,2003,Registered,Yes,Yes
"4 BHK Flat for Sale in DLF New Town Heights 2, Sector 86, Gurgaon",18672004.63,Unknown,Ready to Move,10 out of 22,Resale,North,"Garden/Park, Main Road",Freehold,4,5,Gurgaon, DLF New Town Heights 2,6345,4,2364.066194,2003,Registered,Yes,No
